date,stock_Symbol,stock_name,price,open_price,low,close,high,volume_ltc,volume_hkd
11/2/2021 13:32,1,長江和記實業有限公司 (1),53.5,HK$53.20 ,HK$53.10 ,HK$53.50 ,HK$53.90 ,5.41M,HK$288.88M
11/2/2021 13:32,2,中電控股有限公司 (2),72.2,HK$71.90 ,HK$71.90 ,HK$72.20 ,HK$72.70 ,1.28M,HK$92.49M
11/2/2021 13:33,3,香港中華煤氣有限公司 (3),10.98,HK$10.90 ,HK$10.90 ,HK$10.90 ,HK$11.06 ,14.65M,HK$161.25M
11/2/2021 13:33,4,九龍倉集團有限公司 (4),17.3,HK$17.20 ,HK$17.12 ,HK$17.24 ,HK$17.38 ,488.69K,HK$8.42M
11/2/2021 13:33,5,匯豐控股有限公司 (5),42.5,HK$42.50 ,HK$42.30 ,HK$42.60 ,HK$42.85 ,10.32M,HK$438.57M
11/2/2021 13:33,6,電能實業有限公司 (6),41.35,HK$41.40 ,HK$41.20 ,HK$41.25 ,HK$41.55 ,1.01M,HK$41.83M
11/2/2021 13:33,7,香港金融投資控股集團有限公司 (7),0.121,HK$0.12 ,HK$0.12 ,HK$0.12 ,HK$0.12 ,7.98M,HK$952.80K
11/2/2021 13:33,8,電訊盈科有限公司 (8),4.58,HK$4.61 ,HK$4.55 ,HK$4.61 ,HK$4.61 ,6.77M,HK$30.92M
11/2/2021 13:33,9,金奧國際股份有限公司 (9),0.06,-,-,HK$0.06 ,-,-,-
11/2/2021 13:34,10,恒隆集團有限公司 (10),19.76,HK$19.70 ,HK$19.54 ,HK$19.72 ,HK$19.90 ,535.82K,HK$10.56M
11/2/2021 13:34,11,恒生銀行有限公司 (11),146.2,HK$144.50 ,HK$144.50 ,HK$145.30 ,HK$146.70 ,1.18M,HK$172.79M
11/2/2021 13:34,12,恒基兆業地產有限公司 (12),31.25,HK$31.20 ,HK$31.00 ,HK$31.00 ,HK$31.50 ,1.27M,HK$39.79M
11/2/2021 13:34,13,,,,,,,,
11/2/2021 13:34,14,希慎興業有限公司 (14),28.85,HK$28.65 ,HK$28.50 ,HK$28.60 ,HK$29.00 ,1.29M,HK$36.98M
11/2/2021 13:34,16,新鴻基地產發展有限公司 (16),108.8,HK$108.50 ,HK$106.50 ,HK$107.20 ,HK$109.20 ,2.51M,HK$271.43M
11/2/2021 13:34,17,新世界發展有限公司 (17),35.5,HK$35.05 ,HK$35.05 ,HK$35.40 ,HK$35.90 ,2.20M,HK$78.42M
11/2/2021 13:35,18,東方報業集團有限公司 (18),0.51,-,-,HK$0.51 ,-,-,-
11/2/2021 13:35,19,太古股份有限公司 'A' (19),49.3,HK$49.20 ,HK$49.00 ,HK$49.10 ,HK$49.75 ,378.61K,HK$18.69M
11/2/2021 13:35,20,,,,,,,,
11/2/2021 13:35,1,長江和記實業有限公司 (1),53.5,HK$53.20 ,HK$53.10 ,HK$53.50 ,HK$53.90 ,5.41M,HK$288.88M
11/2/2021 13:35,2,中電控股有限公司 (2),72.2,HK$71.90 ,HK$71.90 ,HK$72.20 ,HK$72.70 ,1.28M,HK$92.49M
11/2/2021 13:35,3,香港中華煤氣有限公司 (3),10.98,HK$10.90 ,HK$10.90 ,HK$10.90 ,HK$11.06 ,14.65M,HK$161.25M
11/2/2021 13:36,4,九龍倉集團有限公司 (4),17.3,HK$17.20 ,HK$17.12 ,HK$17.24 ,HK$17.38 ,488.69K,HK$8.42M
11/2/2021 13:36,5,匯豐控股有限公司 (5),42.5,HK$42.50 ,HK$42.30 ,HK$42.60 ,HK$42.85 ,10.32M,HK$438.57M
11/2/2021 13:36,6,電能實業有限公司 (6),41.35,HK$41.40 ,HK$41.20 ,HK$41.25 ,HK$41.55 ,1.01M,HK$41.83M
11/2/2021 13:36,7,香港金融投資控股集團有限公司 (7),0.121,HK$0.12 ,HK$0.12 ,HK$0.12 ,HK$0.12 ,7.98M,HK$952.80K
11/2/2021 13:36,8,電訊盈科有限公司 (8),4.58,HK$4.61 ,HK$4.55 ,HK$4.61 ,HK$4.61 ,6.77M,HK$30.92M
11/2/2021 13:36,9,金奧國際股份有限公司 (9),0.06,-,-,HK$0.06 ,-,-,-
11/2/2021 13:36,10,恒隆集團有限公司 (10),19.76,HK$19.70 ,HK$19.54 ,HK$19.72 ,HK$19.90 ,535.82K,HK$10.56M
11/2/2021 13:37,11,恒生銀行有限公司 (11),146.2,HK$144.50 ,HK$144.50 ,HK$145.30 ,HK$146.70 ,1.18M,HK$172.79M
11/2/2021 13:37,12,恒基兆業地產有限公司 (12),31.25,HK$31.20 ,HK$31.00 ,HK$31.00 ,HK$31.50 ,1.27M,HK$39.79M
11/2/2021 13:37,13,,,,,,,,
11/2/2021 13:37,14,希慎興業有限公司 (14),28.85,HK$28.65 ,HK$28.50 ,HK$28.60 ,HK$29.00 ,1.29M,HK$36.98M
11/2/2021 13:37,16,新鴻基地產發展有限公司 (16),108.8,HK$108.50 ,HK$106.50 ,HK$107.20 ,HK$109.20 ,2.51M,HK$271.43M
11/2/2021 13:37,17,新世界發展有限公司 (17),35.5,HK$35.05 ,HK$35.05 ,HK$35.40 ,HK$35.90 ,2.20M,HK$78.42M
11/2/2021 13:38,18,東方報業集團有限公司 (18),0.51,-,-,HK$0.51 ,-,-,-
11/2/2021 13:38,19,太古股份有限公司 'A' (19),49.3,HK$49.20 ,HK$49.00 ,HK$49.10 ,HK$49.75 ,378.61K,HK$18.69M
11/2/2021 13:38,20,,,,,,,,
11/2/2021 13:38,1,長江和記實業有限公司 (1),53.5,HK$53.20 ,HK$53.10 ,HK$53.50 ,HK$53.90 ,5.41M,HK$288.88M
11/2/2021 13:38,2,中電控股有限公司 (2),72.2,HK$71.90 ,HK$71.90 ,HK$72.20 ,HK$72.70 ,1.28M,HK$92.49M
11/2/2021 13:38,3,香港中華煤氣有限公司 (3),10.98,HK$10.90 ,HK$10.90 ,HK$10.90 ,HK$11.06 ,14.65M,HK$161.25M
11/2/2021 13:39,4,九龍倉集團有限公司 (4),17.3,HK$17.20 ,HK$17.12 ,HK$17.24 ,HK$17.38 ,488.69K,HK$8.42M
11/2/2021 13:39,5,匯豐控股有限公司 (5),42.5,HK$42.50 ,HK$42.30 ,HK$42.60 ,HK$42.85 ,10.32M,HK$438.57M
11/2/2021 13:39,6,電能實業有限公司 (6),41.35,HK$41.40 ,HK$41.20 ,HK$41.25 ,HK$41.55 ,1.01M,HK$41.83M
11/2/2021 13:39,7,香港金融投資控股集團有限公司 (7),0.121,HK$0.12 ,HK$0.12 ,HK$0.12 ,HK$0.12 ,7.98M,HK$952.80K
11/2/2021 13:39,8,電訊盈科有限公司 (8),4.58,HK$4.61 ,HK$4.55 ,HK$4.61 ,HK$4.61 ,6.77M,HK$30.92M
11/2/2021 13:39,9,金奧國際股份有限公司 (9),0.06,-,-,HK$0.06 ,-,-,-
11/2/2021 13:39,10,恒隆集團有限公司 (10),19.76,HK$19.70 ,HK$19.54 ,HK$19.72 ,HK$19.90 ,535.82K,HK$10.56M
11/2/2021 13:40,11,恒生銀行有限公司 (11),146.2,HK$144.50 ,HK$144.50 ,HK$145.30 ,HK$146.70 ,1.18M,HK$172.79M
11/2/2021 13:40,12,恒基兆業地產有限公司 (12),31.25,HK$31.20 ,HK$31.00 ,HK$31.00 ,HK$31.50 ,1.27M,HK$39.79M
11/2/2021 13:40,14,希慎興業有限公司 (14),28.85,HK$28.65 ,HK$28.50 ,HK$28.60 ,HK$29.00 ,1.29M,HK$36.98M
11/2/2021 13:40,16,新鴻基地產發展有限公司 (16),108.8,HK$108.50 ,HK$106.50 ,HK$107.20 ,HK$109.20 ,2.51M,HK$271.43M
11/2/2021 13:40,17,新世界發展有限公司 (17),35.5,HK$35.05 ,HK$35.05 ,HK$35.40 ,HK$35.90 ,2.20M,HK$78.42M
11/2/2021 13:40,18,東方報業集團有限公司 (18),0.51,-,-,HK$0.51 ,-,-,-
11/2/2021 13:41,19,太古股份有限公司 'A' (19),49.3,HK$49.20 ,HK$49.00 ,HK$49.10 ,HK$49.75 ,378.61K,HK$18.69M
11/2/2021 13:41,1,長江和記實業有限公司 (1),53.5,HK$53.20 ,HK$53.10 ,HK$53.50 ,HK$53.90 ,5.41M,HK$288.88M
11/2/2021 13:41,2,中電控股有限公司 (2),72.2,HK$71.90 ,HK$71.90 ,HK$72.20 ,HK$72.70 ,1.28M,HK$92.49M
11/2/2021 13:41,3,香港中華煤氣有限公司 (3),10.98,HK$10.90 ,HK$10.90 ,HK$10.90 ,HK$11.06 ,14.65M,HK$161.25M
11/2/2021 13:41,4,九龍倉集團有限公司 (4),17.3,HK$17.20 ,HK$17.12 ,HK$17.24 ,HK$17.38 ,488.69K,HK$8.42M
11/2/2021 13:42,5,匯豐控股有限公司 (5),42.5,HK$42.50 ,HK$42.30 ,HK$42.60 ,HK$42.85 ,10.32M,HK$438.57M
11/2/2021 13:42,6,電能實業有限公司 (6),41.35,HK$41.40 ,HK$41.20 ,HK$41.25 ,HK$41.55 ,1.01M,HK$41.83M
